config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
rf_all_T4_L14_W7,58,0.575529287226535,0.3484923095678207,5.59
rf_all_T4_L14_W7,59,0.30540049069129743,0.09681179372127613,5.75
rf_all_T4_L14_W7,60,0.2628476546284766,0.07078946508395959,5.45
rf_all_T4_L14_W7,61,0.5564159059909768,0.12570450701052688,5.6
rf_all_T4_L14_W7,62,0.3505070167120029,0.07598606118606815,5.43
rf_all_T4_L14_W7,63,0.30984809671774466,0.08379062237593922,5.55
rf_all_T4_L14_W7,64,0.7134340663314257,0.26515262136600765,5.61
rf_all_T4_L14_W7,65,0.40226462570769556,0.1663528815570099,5.7
rf_all_T4_L14_W7,66,0.09172764606494982,0.07668264676889269,5.51
rf_all_T4_L14_W7,67,0.37600897679170925,0.23374191351622545,5.83
rf_all_T4_L14_W7,68,0.26826281389748885,0.13011916736762694,5.73
rf_all_T4_L14_W7,69,0.5153130681097535,0.11780913998597763,5.79
rf_all_T4_L14_W7,70,0.24297004275132716,0.10232700469155998,6.07
rf_all_T4_L14_W7,71,0.15328731097961867,0.08842246784323116,5.72
rf_all_T4_L14_W7,72,0.30040053404539385,0.1346858380341599,5.66
rf_all_T4_L14_W7,73,0.18349568290955828,0.0823534600090886,5.44
rf_all_T4_L14_W7,74,0.07307264884820402,0.07312660990631,5.32
rf_all_T4_L14_W7,75,0.1551112604540024,0.09545138463324504,5.51
rf_all_T4_L14_W7,76,0.2323488118444259,0.08766334167738002,5.52
rf_all_T4_L14_W7,77,0.7121246246246247,0.1394426901986479,5.36
rf_all_T4_L14_W7,78,0.23433008078900427,0.07082815623833437,5.44
rf_all_T4_L14_W7,79,0.5685435435435435,0.09049503749863566,5.28
rf_all_T4_L14_W7,80,0.3751179751179752,0.05266469646332871,5.41
rf_all_T4_L14_W7,81,0.23388484904270987,0.13496380831399263,5.54
rf_all_T4_L14_W7,82,0.41268015182122053,0.06968098703390473,5.27
rf_all_T4_L14_W7,83,0.17625960640666524,0.058250218713350295,5.28
rf_all_T4_L14_W7,84,0.20244018005212033,0.09766560670391503,5.27
rf_all_T4_L14_W7,85,0.15313355418688565,0.14471912094861145,5.42
rf_all_T4_L14_W7,86,0.2841183574879227,0.1161124002510456,5.22
rf_all_T4_L14_W7,87,0.6656763715587245,0.16019609961097825,5.18
rf_all_T4_L14_W7,88,0.2629873294346979,0.06178387192984213,5.21
rf_all_T4_L14_W7,89,0.07123296645702305,0.11666839636053515,5.25
rf_all_T4_L14_W7,90,0.4837522045855379,0.08173455923984835,5.13
